Pattern,Text Length,Time
a*b*c,10,2.1767616271972656e-05
a*b*?,50,1.1229515075683594e-05
a?b*c,100,2.9087066650390623e-06
a?b?c,200,1.964569091796875e-05
a?b*c,500,1.1920928955078125e-05
