Pattern,Text Length,Time
a*b*c,10,5.674362182617188e-06
a*b*?,50,3.607273101806641e-05
a?b*c,100,3.421306610107422e-05
a?b?c,200,3.604888916015625e-05
a?b*c,500,0.0022464275360107424
