text_id,text_size_kb,pattern,algorithm,occurrences,runtime
1,1.0,small,brute_force,0,6.175041198730469e-05
1,1.0,small,sunday,0,3.814697265625e-05
1,1.0,small,kmp,0,0.00011897087097167969
1,1.0,small,fsm,0,0.0006520748138427734
1,1.0,small,rabin_karp,0,0.00014209747314453125
1,1.0,small,gusfield_z,0,0.00017690658569335938
1,1.0,large,brute_force,0,5.1975250244140625e-05
1,1.0,large,sunday,0,2.002716064453125e-05
1,1.0,large,kmp,0,0.00013375282287597656
1,1.0,large,fsm,0,0.10314297676086426
1,1.0,large,rabin_karp,0,0.00015997886657714844
1,1.0,large,gusfield_z,0,0.00022912025451660156
2,5.0,small,brute_force,0,0.00034499168395996094
2,5.0,small,sunday,0,0.00011181831359863281
2,5.0,small,kmp,0,0.0006542205810546875
2,5.0,small,fsm,0,0.0010190010070800781
2,5.0,small,rabin_karp,0,0.0007240772247314453
2,5.0,small,gusfield_z,0,0.0009288787841796875
2,5.0,large,brute_force,0,0.0003139972686767578
2,5.0,large,sunday,0,2.7179718017578125e-05
2,5.0,large,kmp,0,0.0006511211395263672
2,5.0,large,fsm,0,0.10899829864501953
2,5.0,large,rabin_karp,0,0.0007381439208984375
2,5.0,large,gusfield_z,0,0.0009698867797851562
3,10.0,small,brute_force,0,0.0006122589111328125
3,10.0,small,sunday,0,0.0001747608184814453
3,10.0,small,kmp,0,0.001171112060546875
3,10.0,small,fsm,0,0.0013318061828613281
3,10.0,small,rabin_karp,0,0.0013911724090576172
3,10.0,small,gusfield_z,0,0.001909017562866211
3,10.0,large,brute_force,0,0.0006420612335205078
3,10.0,large,sunday,0,3.910064697265625e-05
3,10.0,large,kmp,0,0.0012941360473632812
3,10.0,large,fsm,0,0.10738825798034668
3,10.0,large,rabin_karp,0,0.001413106918334961
3,10.0,large,gusfield_z,0,0.0016832351684570312
4,20.0,small,brute_force,0,0.001157999038696289
4,20.0,small,sunday,0,0.0003509521484375
4,20.0,small,kmp,0,0.0027320384979248047
4,20.0,small,fsm,0,0.002162933349609375
4,20.0,small,rabin_karp,0,0.002811908721923828
4,20.0,small,gusfield_z,0,0.0037560462951660156
4,20.0,large,brute_force,0,0.0014319419860839844
4,20.0,large,sunday,0,0.00013709068298339844
4,20.0,large,kmp,0,0.0019230842590332031
4,20.0,large,fsm,0,0.10529494285583496
4,20.0,large,rabin_karp,0,0.0028259754180908203
4,20.0,large,gusfield_z,0,0.0038399696350097656
5,50.0,small,brute_force,0,0.003370046615600586
5,50.0,small,sunday,0,0.0008738040924072266
5,50.0,small,kmp,0,0.00476384162902832
5,50.0,small,fsm,0,0.0044708251953125
5,50.0,small,rabin_karp,0,0.007735013961791992
5,50.0,small,gusfield_z,0,0.008828878402709961
5,50.0,large,brute_force,0,0.0028820037841796875
5,50.0,large,sunday,0,0.00011396408081054688
5,50.0,large,kmp,0,0.004884958267211914
5,50.0,large,fsm,0,0.10731291770935059
5,50.0,large,rabin_karp,0,0.006897926330566406
5,50.0,large,gusfield_z,0,0.009490966796875
6,100.0,small,brute_force,0,0.006932973861694336
6,100.0,small,sunday,0,0.0017371177673339844
6,100.0,small,kmp,0,0.009539127349853516
6,100.0,small,fsm,0,0.00905299186706543
6,100.0,small,rabin_karp,0,0.013593912124633789
6,100.0,small,gusfield_z,0,0.018589019775390625
6,100.0,large,brute_force,0,0.006166934967041016
6,100.0,large,sunday,0,0.0001709461212158203
6,100.0,large,kmp,0,0.009532928466796875
6,100.0,large,fsm,0,0.11605024337768555
6,100.0,large,rabin_karp,0,0.015733003616333008
6,100.0,large,gusfield_z,0,0.019623994827270508
